lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,gueb,gleb,diffGuebGleb,diffExacEGleb,absDiffDiscExacE,hMin,hMax,sumL1NormOfJumps,normDiffExactSolJ1DiscSol,normDiffDiscSolJ1DiscSol,diffDiscEGleb
0,8,5,0.04864,0.518195975907925,12600894.2184084,12600892.9476311,1.2707772935749,-2662.47455280825,-2547.36786952931,-2667.9664752915,120.598605762188,-1256.4076577015,1261.89958018475,1,1.4142135623731,1.18729569446452,0.533066265889076,0.151597349989011,5.49192248324653
1,32,23,0.01759,0.339303814850844,1853679.37387205,1853677.57824663,1.7956254170056,-3396.66355255809,-3037.88552352976,-77919.1808663772,74881.2953428474,73994.8067333842,527.710580434908,0.5,1,2.40269941376319,0.426179631432396,0.267446091874155,74522.5173138191
2,49,17,0.008515,0.275892331333052,731575.826616065,731573.953522971,1.87309309427544,-3539.7759285232,-3056.95120902945,-50356.3398359739,47299.3886269445,46431.9657029809,384.598204469801,0.353553390593274,1,3.00591189441325,0.411923910571314,0.309913324265292,46816.5639074507
3,87,21,0.012701,0.243385511085811,279264.014521314,279262.707581668,1.30693964612226,-3607.04325490335,-3313.86128767795,-21496.0587080486,18182.1974203707,17571.6845750556,317.33087808965,0.25,1,2.84156159028169,0.339998854319949,0.241156889642203,17889.0154531453
4,148,58,0.034768,0.214780571484911,111091.675925089,111090.870534386,0.805390702663535,-3696.81474828404,-3511.36588596324,-19497.4836922874,15986.1178063242,15573.1095592944,227.559384708964,0.176776695296637,0.707106781186548,2.54012247874763,0.288296442252915,0.191466123770802,15800.6689440034
5,226,71,0.03318,0.178762365601418,39539.030916652,39538.4477389184,0.583177733584121,-3778.84261321799,-3663.20604206183,-11410.7882826931,7747.58224063128,7486.41414970012,145.531519775007,0.125,0.707106781186548,2.57970552460176,0.234398018816266,0.150958721746304,7631.94566947512
6,358,84,0.051413,0.15366537693947,14713.8520036027,14713.4671066839,0.38489691874902,-3815.5906009651,-3748.8847948659,-7774.86991076923,4025.98511590334,3850.49577777623,108.783532027898,0.0883883476483184,0.707106781186548,2.33860645880129,0.190224052749563,0.114187454227964,3959.27930980413
7,577,93,0.075257,0.128091695192818,4982.59906756717,4982.34250008694,0.256567480239165,-3841.58175375666,-3800.77195022793,-6391.02181097631,2590.24986074838,2466.64767798331,82.7923792363376,0.0625,0.5,2.32278232219663,0.155470597423301,0.0887296205716665,2549.44005721964
8,874,95,0.18757,0.10610556554859,1793.3704198718,1793.16401883122,0.206401040580221,-3865.17740008673,-3828.07657468981,-5284.41041988959,1456.33384519978,1360.03628689659,59.1967329062659,0.0441941738241592,0.5,2.6256917631208,0.135531260045077,0.0843396600796858,1419.23301980286
9,1222,111,0.158363,0.0895353376600718,671.242421997837,671.094873532103,0.14754846573291,-3881.31861068661,-3853.12245758458,-4669.1798574091,816.057399824522,744.805724416104,43.0555223063893,0.03125,0.5,2.57728295938032,0.115366344363971,0.0731830181949317,787.861246722493
10,1714,100,0.195726,0.0753700754486532,236.416349945076,236.318635880668,0.0977140644073818,-3894.84178642401,-3876.77179028517,-4390.59431418526,513.822523900093,466.220181192262,29.5323465689899,0.0220970869120796,0.5,2.37889715225772,0.0948370591538573,0.057761193713046,495.752527761252
11,2374,109,0.390009,0.0646339028660786,93.6316715020674,93.5649870568307,0.0666844452366138,-3903.06901638432,-3891.60954714176,-4221.55610058419,329.946553442425,297.181967591187,21.3051166086843,0.015625,0.5,2.28031005137038,0.0786946023857694,0.0451397505415913,318.487084199872
12,3592,170,0.704888,0.0529372884341759,32.6647680924068,32.612693096428,0.0520749959788315,-3910.05589456337,-3900.07448403549,-4103.5356846258,203.461200590311,179.161551632798,14.3182384296279,0.0110485434560398,0.5,2.54886179330561,0.0673657639999018,0.0414065507389923,193.479790062426
13,4891,251,1.674926,0.0441058599788981,12.5194985998308,12.4814230017688,0.0380755980620206,-3914.56568518705,-3906.7959351871,-4033.05110658077,126.255171393666,108.676973587769,9.80844780594543,0.0078125,0.5,2.52182752100062,0.0571016469666448,0.0359968478225801,118.485421393715
14,6805,420,3.603724,0.0360299388382191,4.62847381685101,4.60378340144706,0.0246904154039798,-3917.58854324432,-3912.31407209525,-3990.10876472462,77.7946926293675,65.7346317316183,6.78558974867883,0.0055242717280199,0.5,2.2372909577803,0.0462287461695807,0.0284863616933192,72.5202214802971
15,8616,671,7.726967,0.0306652703309665,2.07486910293783,2.05637953866693,0.0184895642709182,-3919.52277843061,-3915.18433794305,-3967.86998731593,52.6856493728806,43.4958543229286,4.85135456238777,0.00390625,0.5,2.17354157765479,0.0398118202039819,0.0250277551032275,48.3472088853164
16,11005,880,13.428745,0.0266004050298932,1.05547367212622,1.04004299455693,0.0154306775692868,-3920.82025940529,-3916.89539165037,-3954.98345130586,38.0880596554903,30.6093183128596,3.55387358771077,0.00390625,0.5,2.24213042452861,0.035512924959145,0.023114837211501,34.1631919005704
17,15383,1396,29.660978,0.0210818715483819,0.424439762898966,0.412622800454022,0.0118169624449432,-3922.14693095882,-3918.84821812648,-3943.67759163882,24.8293735123457,19.3034586458216,2.22720203417703,0.00276213586400995,0.5,2.32445217152699,0.0293777503343332,0.0202497862732312,21.5306606799986
18,21073,2145,63.217697,0.0163408847554082,0.164414298114349,0.155709666865846,0.00870463124850347,-3923.02621371886,-3920.29583466652,-3936.22599224686,15.9301575803383,11.8518592538594,1.34791927413926,0.001953125,0.353553390593274,2.2501635284189,0.0239384369345733,0.0172996016827978,13.1997785279987
19,27576,3397,140.902137,0.0130167680199918,0.0777842962289697,0.0710131969264215,0.00677109930254871,-3923.51963218727,-3921.26739120723,-3932.43274725452,11.1653560472882,8.05861426152114,0.854500805729913,0.00138106793200498,0.353553390593274,2.15892534929707,0.0197939514185184,0.014941616121275,8.91311506725106
20,35937,4540,238.034403,0.00959526302899737,0.0359654705737853,0.0310636652966641,0.00490180527712108,-3923.9143316571,-3922.08298261124,-3929.80242266192,7.71944005068099,5.42828966892239,0.459801335899556,0.00138106793200498,0.353553390593274,2.02251067031044,0.0154505731669957,0.0122599089354891,5.88809100482194
21,50371,6060,449.119578,0.00665980285106473,0.0169008488294524,0.0135381280302848,0.00336272079916742,-3924.153569003,-3922.74331089129,-3928.04360113587,5.30029024457872,3.66946814287303,0.220563989998482,0.0009765625,0.353553390593274,1.77362390879468,0.011460472877308,0.00959053272211383,3.89003213287151
22,71523,7934,877.681322,0.0047195293855481,0.00831317030970467,0.00606414127105673,0.00224902903864783,-3924.26267136676,-3923.21833913464,-3926.86578797909,3.64744884444963,2.49165498609,0.111461626236633,0.000690533966002488,0.25,1.47288051494831,0.00821896666220092,0.00705921993955482,2.60311661232663
23,101281,11031,1760.707023,0.00338566259677418,0.00449029441373438,0.00300238070869702,0.00148791370503727,-3924.31671294083,-3923.54363567743,-3926.14862717812,2.60499150068426,1.77449418511787,0.0574200521696184,0.000690533966002488,0.25,1.21589311246578,0.00570264706080153,0.00487744515865341,1.83191423728749
24,154684,15648,5960.035118,0.00214910658492899,0.00238531283876162,0.0015468828234816,0.000838430015280016,-3924.3509450821,-3923.82543069013,-3925.66608356522,1.84065287508201,1.29195057221614,0.0231879108969224,0.00048828125,0.25,0.884104175215228,0.00343326249692223,0.0029057041090254,1.31513848311306
25,250078,20655,11979.923643,0.00133750531285375,0.00128404224637276,0.000831026714745461,0.000453015531627295,-3924.36511735793,-3924.0075491831,-3925.32881239657,1.32126321347687,0.954679403574573,0.00901563506704406,0.000345266983001244,0.25,0.652107624788219,0.00208652446671979,0.00173120056318571,0.963695038641617
26,403597,24611,24429.390895,0.000838384955584693,0.000702143772763416,0.000456592945650144,0.000245550827113273,-3924.3705924448,-3924.12661188181,-3925.08496224195,0.958350360133409,0.710829248945629,0.00354054820172678,0.000244140625,0.25,0.479516369909545,0.00130761272945548,0.00106935082903474,0.714369797147356
27,671090,28945,58414.55346,0.000471427780369827,0.000386047507273137,0.000274563966634329,0.000111483540638809,-3924.37300140078,-3924.22646855292,-3924.92697336142,0.700504808496135,0.552840368417492,0.00113159222337345,0.000172633491500622,0.25,0.321848429883106,0.000709218528204659,0.000543231020915974,0.553971960640865
28,1055064,27005,163217.564643,0.000326818268622921,0.000218096072871278,0.000156884728779089,6.12113440921891e-05,-3924.37359159,-3924.28162435974,-3924.79232304779,0.510698688050979,0.418190054789648,0.000541402995622775,0.0001220703125,0.25,0.236513558298442,0.000460050514007558,0.00030949727745564,0.41873145778527
